"DENOMINAZI","classi_eta","ita_f","ita_m","stran_f","stran_m","fem","man","totage","femASL","manASL","sumgenASL","sumageASL","hpt_fem","hpt_male","hpt","nohpt","hptASL","nohptASL","sumhptASL","hf_fem","hf_male","hf","nohf","hfASL","nohfASL","sumhfASL"
"ROMA 3","""65_69""",17186,14588,1247,601,18433,15189,33622,344470,314855,659325,659325,6804,7187,13991,19631,117242,542083,659325,226,464,690,32932,9141,650184,659325
"ROMA 3","""70_74""",16967,13021,650,288,17617,13309,30926,344470,314855,659325,659325,8907,7618,16525,14401,117242,542083,659325,391,661,1052,29874,9141,650184,659325
"ROMA 3","""75_79""",15275,10963,330,128,15605,11091,26696,344470,314855,659325,659325,9716,7296,17012,9684,117242,542083,659325,708,766,1474,25222,9141,650184,659325
"ROMA 3","""80_84""",14003,9583,167,67,14170,9650,23820,344470,314855,659325,659325,9928,6789,16717,7103,117242,542083,659325,1015,873,1888,21932,9141,650184,659325
"ROMA 3","""85_100""",13940,7374,126,49,14066,7423,21489,344470,314855,659325,659325,10197,5417,15614,5875,117242,542083,659325,1603,1020,2623,18866,9141,650184,659325
"ROMA 4","""00_04""",5320,5812,813,886,6133,6698,12831,183637,175639,359276,359276,6,0,6,12825,64012,295264,359276,6,7,13,12818,4695,354581,359276
"ROMA 4","""05_09""",7184,7572,1052,1139,8236,8711,16947,183637,175639,359276,359276,0,4,4,16943,64012,295264,359276,0,0,0,16947,4695,354581,359276
"ROMA 4","""10_14""",8033,8482,1041,1073,9074,9555,18629,183637,175639,359276,359276,12,7,19,18610,64012,295264,359276,0,0,0,18629,4695,354581,359276
"ROMA 4","""15_19""",7741,8344,779,867,8520,9211,17731,183637,175639,359276,359276,14,33,47,17684,64012,295264,359276,0,0,0,17731,4695,354581,359276
"ROMA 4","""20_24""",7522,8218,695,928,8217,9146,17363,183637,175639,359276,359276,19,33,52,17311,64012,295264,359276,0,0,0,17363,4695,354581,359276
"ROMA 4","""25_29""",7418,7928,931,1063,8349,8991,17340,183637,175639,359276,359276,28,42,70,17270,64012,295264,359276,0,5,5,17335,4695,354581,359276
"ROMA 4","""30_34""",8412,8291,1722,1528,10134,9819,19953,183637,175639,359276,359276,55,73,128,19825,64012,295264,359276,0,5,5,19948,4695,354581,359276
"ROMA 4","""35_39""",9317,9146,1996,1825,11313,10971,22284,183637,175639,359276,359276,113,169,282,22002,64012,295264,359276,6,8,14,22270,4695,354581,359276
